Time,Ambient (deg C)
2018-04-08 12:09:53.657448,9.1
2018-04-08 12:19:53.655138,9.1
2018-04-08 12:29:53.652829,9.1
2018-04-08 12:39:53.650520,9.1
2018-04-08 12:49:53.648210,9.1
2018-04-08 12:59:53.645901,9.3
2018-04-08 13:09:53.643592,9.3
2018-04-08 13:19:53.641282,9.3
2018-04-08 13:29:53.638973,9.3
2018-04-08 13:39:53.636664,9.3
2018-04-08 13:49:53.634355,9.3
2018-04-08 13:59:53.632045,9.3
2018-04-08 14:09:53.629736,9.3
2018-04-08 14:19:53.627427,9.3
2018-04-08 14:29:53.625117,9.3
2018-04-08 14:39:53.622808,9.3
2018-04-08 14:49:53.620499,9.3
2018-04-08 14:59:53.618189,9.3
2018-04-08 15:09:53.615880,9.3
2018-04-08 15:19:53.613571,9.3
2018-04-08 15:29:53.611262,9.3
2018-04-08 15:39:53.608952,9.3
2018-04-08 15:49:53.606643,9.3
2018-04-08 15:59:53.604334,9.3
2018-04-08 16:09:53.602024,9.3
2018-04-08 16:19:53.599715,9.3
2018-04-08 16:29:53.597406,9.3
2018-04-08 16:39:53.595096,9.3
2018-04-08 16:49:53.592787,9.3
2018-04-08 16:59:53.590478,9.3
2018-04-08 17:09:53.588169,9.3
2018-04-08 17:19:53.585859,9.3
2018-04-08 17:29:53.583550,9.3
2018-04-08 17:39:53.581241,9.1
2018-04-08 17:49:53.578931,9.1
2018-04-08 17:59:53.576622,9.1
2018-04-08 18:09:53.574313,9.1
2018-04-08 18:19:53.572003,9.1
2018-04-08 18:29:53.569694,9.1
2018-04-08 18:39:53.567385,9.1
2018-04-08 18:49:53.565076,9.1
2018-04-08 18:59:53.562766,9.1
2018-04-08 19:09:53.560457,9.0
2018-04-08 19:19:53.558148,9.0
2018-04-08 19:29:53.555838,9.0
2018-04-08 19:39:53.553529,8.8
2018-04-08 19:49:53.551220,8.8
2018-04-08 19:59:53.548910,8.8
